001-TIME,002-nPart-Spec-001,003-nPart-Spec-002,004-nPart-Spec-003,022-TempTotal004,DISS
2.42800000000013E-05,2159,17819,17819,6282.53233351881,1.18317191204271E-18
2.43800000000013E-05,2154,17824,17824,6297.76025118855,1.92400803576401E-18
2.44800000000013E-05,2150,17828,17828,6278.78794483251,1.06840490541065E-18
2.45800000000013E-05,2144,17834,17834,6283.78595576033,2.19416063119549E-18
2.46800000000014E-05,2140,17838,17838,6268.9574407371,2.58735918714745E-18
2.47800000000014E-05,2136,17842,17842,6275.58209338319,2.81911783382798E-18
2.48800000000014E-05,2130,17848,17848,6278.63984119233,2.03629119370974E-18
2.49800000000014E-05,2130,17848,17848,6263.54283416047,2.19646586123069E-18
2.50800000000014E-05,2127,17851,17851,6265.7177796336,1.69792441453163E-18
2.51800000000014E-05,2122,17856,17856,6259.57316754707,2.24113843849192E-18
2.52800000000015E-05,2120,17858,17858,6252.31476544356,2.11514960798718E-18
2.53800000000015E-05,2117,17861,17861,6250.27113705915,2.84865045133805E-18
2.54800000000015E-05,2111,17867,17867,6264.44536801405,1.61387097570041E-18
2.55800000000015E-05,2105,17873,17873,6248.2966828335,8.20943339039837E-19
2.56800000000015E-05,2101,17877,17877,6232.91395135623,1.18784229690239E-18
2.57800000000015E-05,2096,17882,17882,6238.67487375254,2.00814652299539E-18
2.58800000000016E-05,2091,17887,17887,6244.9993887483,1.40868795388123E-18
2.59800000000016E-05,2087,17891,17891,6245.07847053366,2.02763846646093E-18
2.60800000000016E-05,2083,17895,17895,6237.20859609866,1.00969840065406E-18
2.61800000000016E-05,2079,17899,17899,6234.18612131044,2.31019335854327E-18
2.62800000000016E-05,2076,17902,17902,6231.77465624037,1.0255082410867E-18
2.63800000000016E-05,2071,17907,17907,6232.49896135684,1.48544224278124E-18
2.64800000000017E-05,2067,17911,17911,6211.84650386129,1.1422882224789E-18
2.65800000000017E-05,2061,17917,17917,6220.25144333231,9.3365538645283E-19
2.66800000000017E-05,2060,17918,17918,6225.38469934996,1.10357025717122E-18
2.67800000000017E-05,2056,17922,17922,6231.63385168941,1.20874081151426E-18
2.68800000000017E-05,2053,17925,17925,6215.15530416552,1.26715183125303E-18
2.69800000000017E-05,2049,17929,17929,6214.99084640742,1.70800170724472E-18
2.70800000000017E-05,2045,17933,17933,6202.2809971045,9.58443915338872E-19
2.71800000000018E-05,2038,17940,17940,6214.44822327776,1.64787341698935E-18
2.72800000000018E-05,2033,17945,17945,6210.45810556828,2.25660837140594E-18
2.73800000000018E-05,2027,17951,17951,6199.54368846293,1.59780852303725E-18
2.74800000000018E-05,2023,17955,17955,6200.32164418429,1.86592259363612E-18
2.75800000000018E-05,2019,17959,17959,6200.71280642661,1.56160672950706E-18
2.76800000000018E-05,2014,17964,17964,6189.64594992023,2.25096896776264E-18
2.77800000000019E-05,2013,17965,17965,6202.42073888182,1.42591545788965E-18
2.78800000000019E-05,2005,17973,17973,6188.5838997706,9.40929549160823E-19
2.79800000000019E-05,1997,17981,17981,6171.29671388331,1.54729946497452E-18
2.80800000000019E-05,1993,17985,17985,6180.54762843186,1.20215961345722E-18
2.81800000000019E-05,1991,17987,17987,6172.12549143941,8.26416992815112E-19
2.82800000000019E-05,1990,17988,17988,6186.58119491561,1.06135905145315E-18
2.8380000000002E-05,1990,17988,17988,6164.65493244472,1.84254068478381E-18
2.8480000000002E-05,1986,17992,17992,6183.00014825959,1.09075112037286E-18
2.8580000000002E-05,1982,17996,17996,6165.67946150692,1.61457006408821E-18
2.8680000000002E-05,1975,18003,18003,6163.46994582123,1.58737151906082E-18
